Catégorie,Mes.,Annotations de mesures,Remarques / observations,Analyse personnelle / TP de séminaire,,,,,,,,,,,,,
mo-,17,"M. : Ländler et élément thématique b : Mi b - Ré (Geh' hin, él. thém. b), La b - Sol (Hinfort […] Herr, él. thém. B), Sol - Fa # (Herr Gott!, él. thém. b)",,,,,,,,,,,,,,,
mo-,17-18,Vl. 1 : Élément thématique e,,,,,,,,,,,,,,,
mo-,18,Hrs. : réminiscence A.I Sc.I : Er hat ein Kind ohne den Segen der Kirche,,,,,,,,,,,,,,,
mo-,18,"Pos. : Élément thématique d : Motif de la frayeur, harmonisés en seconde majeures",,,,,,,,,,,,,,,
mo-,18,Vlc. : Élément thématique c,,,,,,,,,,,,,,,
graph- mo-,19-20,"Cordes : élément thématique A : 1 demi-ton plus grave, diminué rythmiquement",,,,,,,,,,,,,,,
du-,19-21,Hfe. : Élément thématique a : Augmentation du début de a,,,,,,,,,,,,,,,
mo- int-,19-22,"Picc., Fl. et cel. : Contrafact pont de la forme sonate (diversion avec l'enfant) II/1 m. 29 - 31, GP 16 («hopp hopp», enfant rebuté)",,"Figure de seconde mineure, peut être vu comme une verticalisation de l'élément thématique b",,,,,,,,,,,,,
mo-,21-22,"Ob. : Élément thématique b : (Fa # - (Do) - Fa - La b - Sol), Ländler, Ré - Mi b (rétrograde)",,,,,,,,,,,,,,,
int-,21-22,"Intervalle important (Fa # - Do, 4te dim)",,,,,,,,,,,,,,,
graph- mo- int-,22,"Ob., Hfe., Marie : accord de Ré b M, Cordes : accord de Ré M, Superposition d'accords Maj. Un demi-ton plus bas",,Inversion des accords,,,,,,,,,,,,,
graph- mo-,22,"Lien entre M. et Hfe. : Doublure en 3ce mineures, puis 4te (L'enfant, personnification de la faute de Marie)",Ce serait pertinent de développer l'idée de l'enfant en tant que personnification de l'erreur de Marie,,,,,,,,,,,,,,
int-,22,"Picc. : Élément thématique d : Motif de la frayeur, harmonisés en seconde majeures, ascension prolongée",,,,,,,,,,,,,,,
mo-,23,Picc. : notes sup. des deux accords de Wozzeck (Wozzeck -> Enfant?),,,,,,,,,,,,,,,
int-,23-24,"Marie : Si - Fa (Hertz. Fort!, 4te aug), Citation de II/1, m. 49 (même note sur le même mot)",,,,,,,,,,,,,,,
mo-,23-25,"Fl. : Élément thématique d : Motif de la frayeur, harmonisés en seconde majeures, flzg et réitéré",,,,,,,,,,,,,,,
graph- mo-,23-25,"Trp. : Élément thématique c & d : Segment c sans le trille, avec développement",,Le développement est une variation du segment d (motif de la frayeur descendant / ascendant),,,,,,,,,,,,,
graph- mo-,23-25,"Vlc. : Élément thématique e : Segment dérythmé (symbolisme du cœur?) un demi-ton plus grave (sauf deux notes), apparition de Si",,,,,,,,,,,,,,,
graph- mo-,25-27,"Marie : Élément thématique a : 5te ascendante au lieu de 4te descendante, initié par la Trp.",,,,,,,,,,,,,,,
mo-,25-27,Instauration du sujet de la fugue (m. 52) (Sol - Ré - Fa - Mib - manque le Si b),,,,,,,,,,,,,,,
int-,26,Pos. : Pédale de Fa #,,,,,,,,,,,,,,,
int-,26,"Cél., hfe. & vl. : Double pédale Sol - Si b",,,,,,,,,,,,,,,
graph- mo-,26,"Vl. 2, Vla solo & Vlc. Solo : Sol - Ré - Fa - Mi b (symbolisme de la croix)",,,,,,,,,,,,,,,
mo-,28-29,"Fl. : Élément thématique f : Commence sur Si bécarre, majeur très bref (doublé par les doubles pédales)",,,,,,,,,,,,,,,
tim-,29-32,"Hfe., Cel., Vl. : Disparition des arpèges",,,,,,,,,,,,,,,
int- mo-,29-32,Motif mélo. M. : Importance de 4tes,,L'attention de Marie retourne vers son enfant,,,,,,,,,,,,,
int-,29-32,"Vl. solo, Vlc. solo : Mouvements de 2des min. harmonisé à la quarte",,,,,,,,,,,,,,,
int- mo-,29-32,"Motif mélo. Kb : Fa # - Do (4te aug), vers le V de la prochaine tonalité",,Contrafact I/3 m. 413 - 416 (passage plus doux qui sert de transition vers un passage à la sonorité plus tonale lors d'une scène entre Marie et l'enfant),,,,,,,,,,,,,
mo-,33-35,"Hr. : Élément thématique a, 1 ton plus bas",,,,,,,,,,,,,,,
