Catégorie,Mes.,Annotations de mesures,Remarques / observations,Analyse personnelle / TP de séminaire,,,,,,,,,,,,,
int-,320,Vl. 1 : Descente demi-ton,...,...,,,,,,,,,,,,,
mo-,320-321,"Kb. : 1ère phrase, mélodie surgissant de l'obscurité",,,,Codes de couleur,,,,,,,,,,,
graph- mo-,321-323,Vlc. & Kb. : Motif x,,,,Catégories d'éléments,,,,Couleurs,Code hexadécimal*,,,,,,
graph- mo-,321-323,"Fg., Kfg., Vlc. & Kb : Motif x, gamme par ton vers Ré",,,,Dynamiques,,,,Orange,ffc000,,,,,,
tim-,321-323,Accroissement orchestral,,,,"Durée (rythmes, métriques, tempi...)",,,,Bleu ciel,00b0f0,,,,,,
mo-,321-323,"Méditation, lamentation",,,,"Formes (structures, formes musicales)",,,,Violet,7030a0,,,,,,
int-,323-325,"Hr. : Mahlérien, semblant étranger à la substance de Wozzeck",,,,"Intonation (hauteurs, inrvalles, mélodies...)",,,,Rouge,ff0000,,,,,,
int-,324-325,Vlc. : Do - Mi (3ce Maj.),,,,Motifs et fonctions dramaturgiques/narratologiques,,,,Vert,00b050,,,,,,
int-,325,"Hr. : Do # - Ré (2de min. vers Ré, appogiature wagnérienne)",,,,"Timbre (orchestration, texture...)",,,,Brun,b84507,,,,,,
int-,326-327,"Vlc. : Fa # - Do (4te aug), Do - La b (6te min)",,Do - Ré b (2de min.),,,,,,,,,,,,,
graph- mo-,327,Parsifal (Prélude p. 26 ???),???,,,*Dans le cas où on perdait le code de couleur exact...,,,,,,,,,,,
mo-,327-329,Vl. 1 : Ländler,,,,,,,,,,,,,,,
mo-,327-329,Kl. & Fg. : Motif y,,,,,,,,,,,,,,,
graph- mo-,329-331,Hr. : Motif x (2 apparitions),,,,,,,,,,,,,,,
graph- tim-,330,Vl : Doublure des Ob.,,,,,,,,,,,,,,,
graph- int-,331-332,Pos. : Entrée par imitation,,,,,,,,,,,,,,,
int-,331-335,Modulation par suite de dominantes : Vlc. & Kb. : Do (V) - Ré b - Sol (5te dim) (V de V) - Do (V) - Fa (I),,,,,,,,,,,,,,,
graph- mo-,333-334,Pos. : Motif x,,,,,,,,,,,,,,,
graph- mo-,334,Trp. : Motif x,,,,,,,,,,,,,,,
int-,335,Modulation vers Fa + gamme par tons,,,,,,,,,,,,,,,
int-,335,Hfe. : Gliss. gamme par tons,,,,,,,,,,,,,,,
mo-,337-338,"Accords X, Y & Z",,,,,,,,,,,,,,,
int-,339,Kb. : La b - Ré (4te aug),,,,,,,,,,,,,,,
graph- mo-,339-341,"Hr. : Réminiscence du char de chasseur d'Andrès (I/2, m. 212) en La maj. au lieu de Sol maj.",,,,,,,,,,,,,,,
mo- du-,342-345,Bois : Hetzmotiv GP10 s'accélérant,,Stringendo (accélération rythmique et dans le tempo),,,,,,,,,,,,,
graph- mo-,345-346,"Ob., Trp. & Vl. 1 : Hetzmotiv GP12 (I/4, m. 562 - 564, même hauteur)",,,,,,,,,,,,,,,
