Catégorie,Mes.,Annotations de mesures,Remarques / observations,Analyse personnelle / TP de séminaire,,,,,,,,,,,,,
graph- int-,346-351,"Pk., Vlc. & Kb. : Note de la soumission (Do #)",,,,,,,,,,,,,,,
graph- mo-,347-348,"Ob. : Hetzmotiv GP1, Capitaine harmonisé à la 3ce Maj.",,,,,,,,,,,,,,,
graph- mo-,348-349,"Fl., Ob. & Trp. : Hetzmotiv GP12, réminiscence de l'aberration mentale 1 ton plus bas",,"(I/4, m. 562 - 564, même hauteur)",,,,,,,,,,,,,
graph- mo-,349-351,"Vl. & Vla. : Hetzmotiv GP1, Capitaine",,,,,,,,,,,,,,,
int-,349-351,"Harmonisation : Si b - Do (2de Maj.), Si b - Mi (4te aug), Do - Mi (3ce Maj.)",,,,,,,,,,,,,,,
graph- int-,349-351,"Imitation aux Hr., puis aux Trp.",,,,,,,,,,,,,,,
graph- mo-,349-351,"Pos. 2 - 3 : Thème de la passacaille (I/4, p. 110, m. 490, même hauteur)",,,,,,,,,,,,,,,
du-,349-351,Accélération subite,,,,,,,,,,,,,,,
graph- mo-,352-354,"Ob., Vl. & Vla. : Hetzmotiv GP14, thème a de la séduction (I/5, p. 152, m. 656, même hauteur)",,,,,,,,,,,,,,,
graph- mo-,352-354,"Vlc. & Kb. : Hetzmotiv GP9, L'attente vaine de Marie (I/3, p. 87, m. 413, en Sol au lieu d'en Fa)",,,,,,,,,,,,,,,
graph- mo-,355-356,"Pos. : Hetzmotiv GP14, thème b de la séduction (I/5, p. 152, m. 658, même hauteur), Mélancholie du désir",,,,,,,,,,,,,,,
mo-,355-356,"Kl. : Hetzmotiv GP14, thème a de la séduction (I/5, p. 152, m. 656, même hauteur)",,,,,,,,,,,,,,,
tim-,355-356,Kl. en Si b plus chaude que la Mi b,,,,,,,,,,,,,,,
graph- mo-,357-358,"Bkl., Fg., Hr. & kl. Tr : Hetzmotiv GP13, Tambour-Major (réminiscence I/5, p. 155, m. 666)",,,,,,,,,,,,,,,
graph- mo-,357-358,"Trp., Xyl. & Vl. : Hetzmotiv GP13, Tambour-Major",,,,,,,,,,,,,,,
int-,357-358,Fin sur Si,,,,,,,,,,,,,,,
mo-,357-358,"Pos. : Rappelle les batailles : T.-M. / Marie (I/5), T.-M. / Wozzeck (II/5)",,,,,,,,,,,,,,,
mo-,359,Hr. : immer zu,,,,,,,,,,,,,,,
graph- mo-,359-361,"Pos. : Citation Wozzeck (II/1, p. 196, m. 112 - 113) juste avant le Wir arme leut",,,,,,,,,,,,,,,
du-,361-363,Vlc. & Kb. : Rythme de la soumission,,,,,,,,,,,,,,,
graph- mo-,361-364,"Pos. : Hetzmotiv GP2, Wir arme leut (I/1, m. 136)",,,,,,,,,,,,,,,
graph- mo-,362-364,"Fl., Ob. & Kl. : Hetzmotiv GP2, Wir arme leut (I/1, m. 136)",,,,,,,,,,,,,,,
graph- int-,364,"Fl., Ob. & Kl. : Total chromatique",,,,,,,,,,,,,,,
graph- dy-,364,"kl. Tr., Tam-Tam & gr. Tr. : Tremolo en crescendo",,,,,,,,,,,,,,,
int-,364,Vlc. & Kb. : Mi b - La (4te aug),,,,,,,,,,,,,,,
int-,364-366,Vlc. & Kb. : Alternance V - I,,,,,,,,,,,,,,,
mo-,364-366,"Citation de la marche funèbre du Capitaine (II/2, p. 232, m. 262, sur Ré plutôt que La)",,,,,,,,,,,,,,,
graph- mo-,365-367,"Fl., Ob., Kl., Hr., Trp., Vl. & Vla. : Thème du malheur de Wozzeck (II/2, p. 249, m. 329 - 330)",,,,,,,,,,,,,,,
mo-,367-368,Kb. : 1ère phrase,,,,,,,,,,,,,,,
graph- mo-,368-369,Vlc. & Kb. : Motif x,,,,,,,,,,,,,,,
graph- mo-,369-370,"Vl., Vla. & Vlc. : Motif x",,,,,,,,,,,,,,,
int-,370-371,"Résolution sur accord de Ré min. (I) , puis mouvement cadentiel (V - I) aux Kfg. & Kb.",,,,,,,,,,,,,,,
graph- int-,371,Hfe. : Arpège 7e dim.,,,,,,,,,,,,,,,
graph- int-,371,"Kl. & Cel. : Même arpège, mais avec La b au lieu de Si b",,,,,,,,,,,,,,,
graph- mo-,372-373,"Hfe. : Hetzmotiv GP16, l'enfant rejeté (II/1, p. 178, m. 29)",,,,,,,,,,,,,,,
mo-,372-373,"Enfants : début berceuse, La b - Mi - La b (I/3, p. 80, m. 372)",,,,,,,,,,,,,,,
int-,372-373,Ascension de 4tes,,,,,,,,,,,,,,,
mo-,373,"Klage laut rétrogradé et inversé (Sol b - Fa - Ré), puis original (Ré - Si - Si b)",,,,,,,,,,,,,,,
int-,374,Ouverture de 4te dim. vers 5te ,,,,,,,,,,,,,,,
int-,375,Cordes : 2des min. enchaînées en croches,,,,,,,,,,,,,,,
graph- int- mo-,375,Vlc. : Départ sur Si - Fa (5te dim.) et arrêt brusque de rupture sur Si - Fa,,Motif de la frayeur,,,,,,,,,,,,,
graph- int- mo-,375-376,Hr. & Btb. : Descente chromatique où les notes sont répétées deux fois (extrapolation du motif de la frayeur),,,,,,,,,,,,,,,
int-,376-378,Kl. & Bkl. : Descente chromatique où les notes sont répétées quatre fois,,,,,,,,,,,,,,,
mo-,377-378,"Vl. solo : fin de la berceuse (Lauter kühle Wein muß es sein!) et rétrograde inversé de la levée de la lune de sang (III/2, p. 410, m. 98 - 99)",,Scène de sommeil / repos mis en parallèle avec la mort (Dein Mutter ist tot!),,,,,,,,,,,,,
graph- int-,379-380,Pk. : Si - Fa (4te aug.),,,,,,,,,,,,,,,
graph- mo-,379-380,"Cordes : Hetzmotiv GP9, l'attente vaine de Marie",,,,,,,,,,,,,,,
int-,379-380,"5tes de Marie dans 3 registres, sonorité creuse",,,,,,,,,,,,,,,
mo-,379-380,"Pk., cordes : Accord de la mort (I/3, p. 90, m. 425), Marie s'endormait, parallèle entre le sommeil et la mort",,,,,,,,,,,,,,,
graph- mo-,380-381,"Hr. & Hfe. : Intervalle grandissant et motif obsession (I/5, p. 165, m. 693, lutte entre M. et T.-M.), 3ce min., 3ce Maj., 4te, 4te aug",,,,,,,,,,,,,,,
int-,380-381,"Harmonisation : Sol - Si b (3ce min., couteau)",,,,,,,,,,,,,,,
graph- mo-,380-381,"Ob. & Enfant de Marie : Réminiscence II/1, p. 178, m. 30 (mouvement de 4te)",,,,,,,,,,,,,,,
graph- mo-,381-385,"Vl. 1 : Ex. 45 hetzmotiv GP7, Marie (mère)",,,,,,,,,,,,,,,
mo-,381-385,"Rétrograde inversé (Do # - Do - La), puis original Ach Marie! (Do - La - La b)",,,,,,,,,,,,,,,
graph- mo-,381-385,Hetzmotiv continué par Trp.,,,,,,,,,,,,,,,
graph- mo-,381-385,Hetzmotiv continué par Kl.,,,,,,,,,,,,,,,
graph- mo-,381-385,Hetzmotiv continué par Bkl.,,,,,,,,,,,,,,,
graph- du-,382-383,kl. Tr. : Suit le rythme des Hr.,,Remplit le vide de la ligne de Trp.,,,,,,,,,,,,,
graph- mo-,385-386,"Xyl. & Enfant de Marie : Réminiscence II/1, p. 178, m. 30 (Seul dans l'indifférence)",,,,,,,,,,,,,,,
graph- mo-,386-387,"Kl. : Début Hetzmotiv GP8, berceuse (ombre de Marie)",,,,,,,,,,,,,,,
mo-,386-387,"Vlc. solo : Variante Hetzmotiv GP8, berceuse, hauptstimme",,,,,,,,,,,,,,,
graph- mo-,387-388,"Vla. Solo : Variante Hetzmotiv GP8, berceuse, hauptstimme",,,,,,,,,,,,,,,
graph- mo-,387-388,"Trp. : Variante Hetzmotiv GP8, berceuse, hauptstimme",,,,,,,,,,,,,,,
int-,387-388,Ascension progressive de variante de GP8,,,,,,,,,,,,,,,
graph- mo-,387-388,"Hr. : Variante Hetzmotiv GP8, berceuse, nebenstimme",,,,,,,,,,,,,,,
graph- mo-,388-389,"Vl. 1 solo : Variante Hetzmotiv GP8, berceuse, hauptstimme",,,,,,,,,,,,,,,
int-,388-389,Vl. 1 solo : Arrêt sur Si,,,,,,,,,,,,,,,
graph- int-,389,Arrivée de l'accord cadentiel brodé,,,,,,,,,,,,,,,
mo-,389,Synthèse mystérieuse (amour / mort / esprit),,,,,,,,,,,,,,,
int-,390-392,"Cordes : 4 fois la résonnance Sol - Ré (5te, Marie)",,,,,,,,,,,,,,,
int-,390-392,Main gauche Cel. : Si - Fa (5te dim.),,,,,,,,,,,,,,,
dy-,391,"Hfe. : plaqué avec quelque hésitation, tranquille, doublure des cordes",,,,,,,,,,,,,,,
